NPHI,RHOB,DT,,,,,,,,,,,,,,,FIP,FIS,VDOL,VCAL
0.0676,2.7495,51.3632,1,189,45.55,43.5,47.6,51.3632,,0.00697107,0.263443271,0.145703261,-0.726678773,51.3632,0.049797575,,0.049797575,0.001829614,0.798640577,0.149732235
0.0662,2.754,51.322,1,1,1,0.02,0,0.0676,,-0.00697107,0.560449623,-0.248689873,1.005772491,0.0676,0.001829614,,0.049797211,0.000213088,0.809485067,0.140504634
0.0447,2.7267,50.3798,1,1,1,2.87,2.71,2.7495,,0,8.805355304,5.149330587,-13.95468589,2.7495,0.798640577,,,,,
0.0502,2.6988,50.5747,1,1,1,1,1,1,,0,-9.629248198,-5.046343975,14.67559217,1,0.149732235,,,,,
0.0556,2.6709,50.7696,1,,,,,,,,,,,,,,,,,
0.0572,2.664,50.9756,1,189,45.55,43.5,47.6,51.322,,0.00697107,0.263443271,0.145703261,-0.726678773,51.322,0.049797211,,,,,
0.0569,2.6668,51.1869,1,1,1,0.02,0,0.0662,,-0.00697107,0.560449623,-0.248689873,1.005772491,0.0662,0.000213088,,,,,
0.0561,2.6716,51.3431,1,1,1,2.87,2.71,2.754,,0,8.805355304,5.149330587,-13.95468589,2.754,0.809485067,,,,,
0.0541,2.6822,51.3271,1,1,1,1,1,1,,0,-9.629248198,-5.046343975,14.67559217,1,0.140504634,,,,,
0.052,2.6929,51.3112,1,,,,,,,,,,,,,,,,,
0.0484,2.7016,51.254,1,189,45.55,43.5,47.6,51.254,,0.00697107,0.263443271,0.145703261,-0.726678773,51.254,0.036999037,,,,,
0.0477,2.7738,50.5625,1,1,1,0.02,0,0.0484,,-0.00697107,0.560449623,-0.248689873,1.005772491,0.0484,0.003742467,,,,,
0.0532,2.7539,50.238,1,1,1,2.87,2.71,2.7016,,0,8.805355304,5.149330587,-13.95468589,2.7016,0.38292482,,,,,
0.0552,2.7368,50.3504,1,1,1,1,1,1,,0,-9.629248198,-5.046343975,14.67559217,1,0.576333677,,,,,
0.0587,2.7024,50.6433,1,,,,,,,,,,,,,,,,,
0.0622,2.6679,50.9362,1,189,45.55,43.5,47.6,50.5625,,0.00697107,0.263443271,0.145703261,-0.726678773,50.5625,0.042513907,,,,,
0.0843,2.5681,50.6268,1,1,1,0.02,0,0.0477,,-0.00697107,0.560449623,-0.248689873,1.005772491,0.0477,-0.009784762,,,,,
0.0684,2.7019,49.2659,1,1,1,2.87,2.71,2.7738,,0,8.805355304,5.149330587,-13.95468589,2.7738,0.748542739,,,,,
0.0548,2.7628,48.6607,1,1,1,1,1,1,,0,-9.629248198,-5.046343975,14.67559217,1,0.218728115,,,,,
0.0431,2.7624,48.6914,1,,,,,,,,,,,,,,,,,
0.0365,2.7447,49.2454,1,,,,,,,,,,,,,,,,,
0.0425,2.7223,49.3178,1,,,,,,,,,,,,,,,,,
0.0505,2.6928,49.301,1,,,,,,,,,,,,,,,,,
0.0562,2.6717,49.2621,1,,,,,,,,,,,,,,,,,
0.054,2.6791,49.1476,1,,,,,,,,,,,,,,,,,
0.0518,2.6864,49.0331,1,,,,,,,,,,,,,,,,,
0.0453,2.7084,48.8321,1,,,,,,,,,,,,,,,,,
0.0376,2.7342,48.6078,1,,,,,,,,,,,,,,,,,
0.0311,2.7557,48.4028,1,,,,,,,,,,,,,,,,,
0.0319,2.7878,47.3563,1,,,,,,,,,,,,,,,,,
0.0313,2.7842,47.3926,1,,,,,,,,,,,,,,,,,
0.0303,2.7789,47.4525,1,,,,,,,,,,,,,,,,,
0.0291,2.7738,47.5227,1,,,,,,,,,,,,,,,,,
0.0376,2.7525,49.1033,1,,,,,,,,,,,,,,,,,
0.0468,2.7472,49.4186,1,,,,,,,,,,,,,,,,,
0.0587,2.7381,49.728,1,,,,,,,,,,,,,,,,,
0.0715,2.7278,50.0357,1,,,,,,,,,,,,,,,,,
0.0798,2.7211,50.3752,1,,,,,,,,,,,,,,,,,
0.0792,2.7215,50.7778,1,,,,,,,,,,,,,,,,,
0.0786,2.722,51.1803,1,,,,,,,,,,,,,,,,,
0.0755,2.7249,51.1591,1,,,,,,,,,,,,,,,,,
0.0721,2.7282,51.089,1,,,,,,,,,,,,,,,,,
0.0671,2.7349,50.8766,1,,,,,,,,,,,,,,,,,
0.06,2.7456,50.4966,1,,,,,,,,,,,,,,,,,
0.0528,2.7563,50.1043,1,,,,,,,,,,,,,,,,,
0.0382,2.7708,47.8656,1,,,,,,,,,,,,,,,,,
0.0429,2.7601,47.9902,1,,,,,,,,,,,,,,,,,
0.0443,2.7579,48.1531,1,,,,,,,,,,,,,,,,,
0.0443,2.7591,48.332,1,,,,,,,,,,,,,,,,,
0.0442,2.7609,48.4871,1,,,,,,,,,,,,,,,,,
0.0442,2.7642,48.5773,1,,,,,,,,,,,,,,,,,
0.0442,2.7674,48.6675,1,,,,,,,,,,,,,,,,,
0.0442,2.7677,48.7207,1,,,,,,,,,,,,,,,,,
0.0441,2.7673,48.7663,1,,,,,,,,,,,,,,,,,
0.0439,2.7665,48.8039,1,,,,,,,,,,,,,,,,,
0.0435,2.7653,48.8293,1,,,,,,,,,,,,,,,,,
0.0432,2.7641,48.8548,1,,,,,,,,,,,,,,,,,
0.0433,2.7578,48.9578,1,,,,,,,,,,,,,,,,,
0.0435,2.7512,49.0649,1,,,,,,,,,,,,,,,,,
0.044,2.7482,49.117,1,,,,,,,,,,,,,,,,,
0.0449,2.7486,49.117,1,,,,,,,,,,,,,,,,,
0.0457,2.7491,49.1163,1,,,,,,,,,,,,,,,,,
0.0468,2.7499,49.1069,1,,,,,,,,,,,,,,,,,
0.0479,2.7507,49.0974,1,,,,,,,,,,,,,,,,,
0.0479,2.7507,49.0705,1,,,,,,,,,,,,,,,,,
0.0472,2.7503,49.0336,1,,,,,,,,,,,,,,,,,
0.0462,2.7502,48.9912,1,,,,,,,,,,,,,,,,,
0.0436,2.751,48.9264,1,,,,,,,,,,,,,,,,,
0.0411,2.7518,48.8616,1,,,,,,,,,,,,,,,,,
0.0387,2.7545,48.7497,1,,,,,,,,,,,,,,,,,
0.0365,2.7578,48.6229,1,,,,,,,,,,,,,,,,,
0.0341,2.7608,48.4968,1,,,,,,,,,,,,,,,,,
0.0311,2.7804,47.2354,1,,,,,,,,,,,,,,,,,
0.0408,2.7656,48.0243,1,,,,,,,,,,,,,,,,,
0.0462,2.757,48.4766,1,,,,,,,,,,,,,,,,,
0.0457,2.757,48.4566,1,,,,,,,,,,,,,,,,,
0.0451,2.757,48.4365,1,,,,,,,,,,,,,,,,,
0.0423,2.7594,48.2846,1,,,,,,,,,,,,,,,,,
0.0393,2.7619,48.1295,1,,,,,,,,,,,,,,,,,
0.0355,2.7674,47.8898,1,,,,,,,,,,,,,,,,,
0.0309,2.7756,47.5779,1,,,,,,,,,,,,,,,,,
0.0467,2.8003,48.0369,1,,,,,,,,,,,,,,,,,
0.0548,2.7896,48.1756,1,,,,,,,,,,,,,,,,,
0.0587,2.7826,48.3873,1,,,,,,,,,,,,,,,,,
0.0581,2.7798,48.6813,1,,,,,,,,,,,,,,,,,
0.0573,2.7767,48.9649,1,,,,,,,,,,,,,,,,,
0.0543,2.7685,48.9309,1,,,,,,,,,,,,,,,,,
0.0514,2.7603,48.8968,1,,,,,,,,,,,,,,,,,
0.0475,2.7628,48.542,1,,,,,,,,,,,,,,,,,
0.0429,2.7727,47.9677,1,,,,,,,,,,,,,,,,,
0.0392,2.7807,47.4903,1,,,,,,,,,,,,,,,,,
0.0406,2.7791,47.544,1,,,,,,,,,,,,,,,,,
0.0421,2.7775,47.5978,1,,,,,,,,,,,,,,,,,
0.0493,2.7585,48.387,1,,,,,,,,,,,,,,,,,
0.0587,2.7327,49.4667,1,,,,,,,,,,,,,,,,,
0.0653,2.7145,50.2372,1,,,,,,,,,,,,,,,,,
0.0647,2.7161,50.2019,1,,,,,,,,,,,,,,,,,
0.064,2.7177,50.1666,1,,,,,,,,,,,,,,,,,
0.0608,2.7256,49.8883,1,,,,,,,,,,,,,,,,,
0.057,2.7346,49.5637,1,,,,,,,,,,,,,,,,,
0.0507,2.7466,48.9968,1,,,,,,,,,,,,,,,,,
0.0405,2.763,48.0671,1,,,,,,,,,,,,,,,,,
0.0303,2.7794,47.1375,1,,,,,,,,,,,,,,,,,
0.0346,2.7754,47.5411,1,,,,,,,,,,,,,,,,,
0.0387,2.7551,47.3136,1,,,,,,,,,,,,,,,,,
0.045,2.7222,47.3829,1,,,,,,,,,,,,,,,,,
0.0512,2.6901,47.4566,1,,,,,,,,,,,,,,,,,
0.0504,2.6967,47.7747,1,,,,,,,,,,,,,,,,,
0.0495,2.7032,48.0928,1,,,,,,,,,,,,,,,,,
0.0468,2.7205,48.1732,1,,,,,,,,,,,,,,,,,
0.0425,2.7455,48.08,1,,,,,,,,,,,,,,,,,
0.0379,2.769,48.0085,1,,,,,,,,,,,,,,,,,
0.0768,2.745,52.285,1,,,,,,,,,,,,,,,,,
0.1047,2.6634,57.2547,1,,,,,,,,,,,,,,,,,
0.1224,2.6253,59.0051,1,,,,,,,,,,,,,,,,,
0.1361,2.5954,60.3652,1,,,,,,,,,,,,,,,,,
0.1313,2.6032,59.9435,1,,,,,,,,,,,,,,,,,
0.1266,2.611,59.5217,1,,,,,,,,,,,,,,,,,
0.1114,2.6386,58.057,1,,,,,,,,,,,,,,,,,
0.0925,2.673,56.2299,1,,,,,,,,,,,,,,,,,
0.0539,2.7336,50.73,1,,,,,,,,,,,,,,,,,
0.0618,2.734,50.8957,1,,,,,,,,,,,,,,,,,
0.0619,2.7381,50.8686,1,,,,,,,,,,,,,,,,,
0.0613,2.7427,50.8248,1,,,,,,,,,,,,,,,,,
0.059,2.7535,50.6918,1,,,,,,,,,,,,,,,,,
0.0331,2.7517,48.5798,1,,,,,,,,,,,,,,,,,
0.0347,2.7363,48.1619,1,,,,,,,,,,,,,,,,,
0.0389,2.7384,48.1734,1,,,,,,,,,,,,,,,,,
0.0431,2.7404,48.1849,1,,,,,,,,,,,,,,,,,
0.0468,2.7464,48.2874,1,,,,,,,,,,,,,,,,,
0.0503,2.7538,48.424,1,,,,,,,,,,,,,,,,,
0.0526,2.7601,48.6346,1,,,,,,,,,,,,,,,,,
0.0521,2.7638,49.0276,1,,,,,,,,,,,,,,,,,
0.0516,2.7675,49.4207,1,,,,,,,,,,,,,,,,,
